Key,en,jp
TITLE,ShibaRunner,柴ランナー
SUBTITLE,"go, shiba, go!","行け、柴、行け！"
PLAY,Play,プレイ
ENDLESS,Endless,エンドレス
SPLITSCREEN,Splitscreen,スプリットスクリーン
SETTINGS,Settings,設定
QUIT,Quit,終了
HINT,use the arrow keys and enter to navigate!,矢印キーとEnterで操作してね！
CURRENTLY_PLAYING,currently playing:,現在再生中：
DIFFICULTY,Difficulty,難易度
VOLUME,Volume,音量
MUSIC_VOL,Music Volume,音楽の音量
SFX_VOL,SFX Volume,効果音の音量
SDB_RESET,Reset save,セーブデータをリセット
BACK,Back,戻る
CREDITS_TITLE,Credits,クレジット
CREDITS_SUBTITLE,Appreciation to all!,皆さんに感謝！
CREDITS,Code:\nxvcf (me)\nAssets:\nxvcf (me)\nBrackeys (assets have been modified by me)\nMusic:\nTiger Tracks - Lexica via Epidemicsound\nYou Know You Know - Forever Sunset via EpidemicSound\nRacing Heartbeats - The Big Let Down via Epidemicsound\nPurge Dropper - Lupus Nocte via Epidemicsound\n\n\nSpecial thanks to Thomas for the shoutouts!\nAll feedback is appreciated!,"コード:\nxvcf (私)\nアセット:\nxvcf (私)\nBrackeys (私が改変しました)\n音楽:\nTiger Tracks - Lexica via Epidemicsound\nYou Know You Know - Forever Sunset via EpidemicSound\nRacing Heartbeats - The Big Let Down via Epidemicsound\nPurge Dropper - Lupus Nocte via Epidemicsound\n\n\nThomasさん、紹介してくれてありがとう！\nフィードバックをお待ちしております！"
CREDITS_HINT,Press Enter to go back!,Enterキーを押して戻る！
INTRO_SHIBINA,"Oh uh, what is this sound... It sounds like metal... Oh no!","あれ、この音は...金属みたいな...やばい！"
INTRO_ROBO,You will come with me now! You better not resist or you will regret it!,今すぐついて来い！抵抗したら後悔するぞ！
LEVEL_1_OH_NO,Oh no! The robo dog kidnapped Shibina!\nI need to rescue her before something happens!,大変！ロボ犬がシビナをさらった！\n何か起こる前に助けなきゃ！
LEVEL_1_COIN,I picked up my first coin. I could use these to buy Shibina a gift to win her heart!,初めてコインを拾った。これでシビナに贈り物を買って、彼女の心を掴めるぞ！
LEVEL_1_SQUIRREL,"Oh no! A squirrel! I've heared those are very dangerous! I don't have a weapon right now, maybe I'll find one later!","やばい！リス！あいつらはすごく危ないって聞いた！今は武器がない、後で見つけるかも！"
LEVEL_1_FOOD,*nom nom nom*\nThis is very delicious! And I already feel so much better! I need more of that!,*もぐもぐもぐ*\nすっごく美味しい！もう元気になった！もっと欲しい！
LEVEL_1_FOOD_WARNING,\nSadly I can't restore health on this difficulty!,\n残念だけど、この難易度では体力が回復しない！
LEVEL_2_TELEPORTER,Woah! This dog house is like a... teleporter! I thought those only exist in movies! And somehow I always wake up here when I get hurt...,わあ！この犬小屋って...テレポーター！映画だけにあると思ってた！そしてなぜか、傷ついたらいつもここで目が覚める...
